Latitude,Longitude,LeadLevel,Month,SalesPrice,LoanAmount,CensusBlock,InService,DistToBoundary
42.938211,-83.582996,0,176,280000,280000,0,0,24732.55031
43.054846,-83.823926,0,91,280000,280000,0,0,23024.10003
43.038413,-83.816486,0,76,280000,280000,0,0,19806.3209
43.029193,-83.801606,0,84,280000,280000,0,0,15755.19744
43.021527,-83.791904,0,69,280000,280000,0,0,13343.03878
42.929889,-83.727487,0,71,279900,279900,0,0,6559.734153
42.996808,-83.718392,0.009095426,204,279000,279000,0.0058,1,3120.055627
43.019269,-83.764966,0,72,278900,278900,0,0,6694.967571
43.056289,-83.827559,0,84,277500,277500,0,0,23985.75131
42.888434,-83.593983,0,56,277000,277000,0.001,0,37667.62497
43.023191,-83.797921,0,46,277000,277000,0,0,14852.05335
43.069522,-83.819711,0,136,276500,276500,0,0,22079.04417
43.056041,-83.826727,0,99,276000,276000,0,0,23768.67302
43.013919,-83.794799,0.017345277,218,275990,275990,0,0,14804.44902
42.998646,-83.717383,0,163,275000,275000,0.024235955,1,3800.547489
42.997181,-83.664951,0,91,275000,275000,0.0077375,1,4249.886585
42.937098,-83.58294,0,156,275000,275000,0,0,25033.0276
43.084947,-83.817082,0,128,275000,275000,0,0,22598.11576
43.040961,-83.807863,0,107,275000,275000,0,0,17620.64112
43.019728,-83.799406,0,28,275000,275000,0,0,15434.07836
43.01783,-83.788401,0,6,275000,275000,0,0,12733.99687
43.056845,-83.608831,0,118,272676,272676,0,0,3212.896222
42.995789,-83.720877,0.070299794,217,272500,272500,0.177666667,1,2721.381067
42.967951,-83.583585,0.007115375,202,272000,272000,0,0,17866.06373
43.018541,-83.766417,0,71,272000,272000,0,0,7161.693228
42.996841,-83.719348,0,138,271250,271250,0.0058,1,3121.441332
42.902483,-83.593827,0,102,271184,271184,0.001,0,33122.46889
43.021087,-83.680453,0.023041861,219,270000,270000,0.002079545,1,11503.01161
42.899164,-83.598306,0,190,270000,270000,0.001,0,33640.5907
43.070685,-83.75028,0,37,270000,270000,0.000857143,0,4508.069256
43.070685,-83.75028,0,35,270000,270000,0.000857143,0,4508.069256
43.040897,-83.807018,0.017922694,217,270000,270000,0,0,17393.7643
43.02554,-83.807505,0,7,270000,270000,0,0,17341.22975
43.023877,-83.764172,0,80,270000,270000,0,0,5903.18295
42.90837,-83.637185,0.014147497,222,269900,269900,0.006,0,27202.05382
42.905859,-83.636807,0,4,269000,269000,0.006,0,28121.49917
42.940614,-83.578019,0,143,268544,268544,0,0,24994.66862
42.967406,-83.820762,0,77,268000,268000,0,0,13058.15415
43.032401,-83.691111,0,165,267086,267086,0.00015625,1,10694.10264
42.996917,-83.656887,0,182,266812,266812,0.00125,1,2976.911277
42.939985,-83.57737,0,84,266500,266500,0,0,25279.946
42.939062,-83.585871,0,85,265425,265425,0,0,23971.21147
42.981378,-83.70789,0,88,265256,265256,0.007247059,1,125.5104727
42.908304,-83.639862,0,114,265000,265000,0.006,0,27118.68448
42.993073,-83.726682,0,35,265000,265000,0.005125,1,1711.001864
43.055784,-83.825892,0.04272171,195,265000,265000,0,0,23550.97166
43.0405,-83.805517,0,44,265000,265000,0,0,16975.92143
42.891896,-83.59712,0,103,264502,264502,0.001,0,36169.21085
42.903099,-83.640835,0,7,264000,264000,0.006,0,28966.89213
42.995041,-83.721176,0.024628448,217,263900,263900,0.177666667,1,2445.68948
42.967182,-83.820762,0,67,263900,263900,0,0,13057.62484
43.037741,-83.813178,0,41,263680,263680,0,0,18905.61987
43.024074,-83.778012,0,20,262900,262900,0.002,0,9529.360989
42.927695,-83.706198,0,33,262500,262500,0.069,0,11007.26119
43.031739,-83.789349,0,111,262000,262000,0,0,12509.78542
42.98125,-83.762881,0,162,261687,261687,0.000666667,0,3026.692725
42.904434,-83.696444,0,74,261456,261456,0.00075,0,18901.97751
42.90518,-83.640552,0,88,261349,261349,0.006,0,28223.34996
43.0348,-83.788784,0,84,261000,261000,0,0,12337.20915
43.030968,-83.689595,0,75,260700,260700,8.00E-05,1,10948.49971
43.050787,-83.81135,0,170,260531,260531,0,0,19364.87917
43.025627,-83.8065,0,7,260500,260500,0,0,17071.34931
43.003075,-83.70981,0,97,260344,260344,0.006,1,5783.026866
43.040666,-83.807642,0.017581826,222,260000,260000,0,0,17546.85286
43.013919,-83.794799,0,96,260000,260000,0,0,14804.44902
43.023676,-83.777935,0,20,259900,259900,0.002,0,9530.202162
42.933524,-83.574709,0,188,259900,259900,0,0,27482.70476
42.906209,-83.700398,0,155,257987,257987,0.00075,0,17751.351
42.905045,-83.636913,0,71,257000,257000,0.006,0,28409.83789
42.908345,-83.639419,0,88,257000,257000,0.006,0,27120.3372
42.898001,-83.598072,0,23,257000,257000,0.001,0,34048.96003
42.899164,-83.598306,0.013221829,199,257000,257000,0.001,0,33640.5907
43.024891,-83.805401,0.017905501,221,257000,257000,0,0,16792.06151
43.01975,-83.798805,0,60,257000,257000,0,0,15274.74713
43.012821,-83.794837,0,70,256900,256900,0,0,14728.54229
42.898001,-83.598072,0,28,256550,256550,0.001,0,34048.96003
43.086691,-83.751044,0,193,256282,256282,6.00E-04,0,6323.174315
42.894368,-83.597906,0,104,255973,255973,0.001,0,35263.35517
42.989936,-83.731947,0,58,255000,255000,0.024235955,1,274.2604479
43.004631,-83.70775,0,44,255000,255000,0.01615625,1,6514.731618
42.908326,-83.639101,0,94,255000,255000,0.006,0,27139.31487
42.991216,-83.653382,0,79,255000,255000,0.001419355,1,702.8352012
42.888445,-83.593482,0,127,255000,255000,0.001,0,37721.13898
42.897993,-83.598068,0,45,255000,255000,0.001,0,34052.05074
43.080764,-83.838186,0,23,255000,255000,0,0,27764.25615
43.02699,-83.806565,0,17,255000,255000,0,0,17073.85092
43.013644,-83.794851,0,64,255000,255000,0,0,14797.69852
43.022136,-83.786555,0,67,255000,255000,0,0,11895.77339
43.009867,-83.621829,0,87,255000,255000,0,0,3409.576512
43.012775,-83.79606,0,69,254900,254900,0,0,15044.0697
42.894574,-83.592587,0,91,253000,253000,0.001,0,35823.02071
