Latitude,Longitude,LeadLevel,Time,SalesPrice,LoanAmount,CensusBlockLeadMean,InServiceLine,DistToBoundary
42.897993,-83.598068,0,1365,255000,255000,0.001,0,34052.05074
43.080764,-83.838186,0,694,255000,255000,0,0,27764.25615
43.02699,-83.806565,0,506,255000,255000,0,0,17073.85092
43.013644,-83.794851,0,1926,255000,255000,0,0,14797.69852
43.022136,-83.786555,0,2031,255000,255000,0,0,11895.77339
43.009867,-83.621829,0,2646,255000,255000,0,0,3409.576512
43.012775,-83.79606,0,2075,254900,254900,0,0,15044.0697
42.894574,-83.592587,0,2740,253000,253000,0.001,0,35823.02071
42.898001,-83.598072,0,289,253000,253000,0.001,0,34048.96003
43.041529,-83.804883,0,2040,253000,253000,0,0,16865.57111
43.019413,-83.787582,0,2883,252889,252889,0,0,12370.6758
43.08738,-83.830882,0,5593,251453,251453,0,0,26380.46733
42.910282,-83.712789,0,5460,251114,251114,0.00075,0,14717.94078
42.898001,-83.598072,0,1137,250000,250000,0.001,0,34048.96003
42.959051,-83.687614,0,5421,250000,250000,0.001,0,6424.144102
43.086691,-83.751044,0,1360,250000,250000,6.00E-04,0,6323.174315
43.054462,-83.822515,0.018622625,6400,250000,250000,0,0,22621.93103
43.050523,-83.810847,0,4390,250000,250000,0,0,19206.93349
43.050523,-83.810847,0,4357,250000,250000,0,0,19206.93349
43.013919,-83.794799,0,2229,250000,250000,0,0,14804.44902
43.021806,-83.793547,0,2080,250000,250000,0,0,13760.0367
42.96709,-83.819882,0,1949,250000,250000,0,0,12821.88837
43.022218,-83.787575,0,694,250000,250000,0,0,12159.67144
43.037477,-83.601477,0,1490,250000,250000,0,0,7223.499677
43.039552,-83.602942,0,4656,250000,250000,0,0,6414.655719
42.90518,-83.640552,0,1191,249900,249900,0.006,0,28223.34996
42.996273,-83.719636,0,1435,249900,249900,0.0058,1,2911.414031
42.897993,-83.598068,0,995,249900,249900,0.001,0,34052.05074
42.905968,-83.700393,0,2200,249850,249850,0.00075,0,17823.41722
42.905968,-83.700393,0,1984,249850,249850,0.00075,0,17823.41722
43.026319,-83.80415,0,3030,249700,249700,0,0,16433.92536
43.01643,-83.671717,0,3719,249500,249500,0.0045,1,8621.651994
42.912733,-83.712649,0,3369,249435,249435,0.00075,0,13960.28797
43.03466,-83.787819,0,946,249075,249075,0,0,12078.07673
42.991435,-83.73201,0.014454724,6238,249000,249000,0.024235955,1,271.0989261
42.899172,-83.598311,0,5868,249000,249000,0.001,0,33637.38318
43.051946,-83.816827,0,2074,249000,249000,0,0,20887.25049
43.041529,-83.804883,0,28,249000,249000,0,0,16865.57111
43.003075,-83.70981,0,1788,248230,248230,0.006,1,5783.026866
43.025627,-83.8065,0,2074,248200,248200,0,0,17071.34931
43.034386,-83.78782,0,937,248000,248000,0,0,12076.56352
42.888644,-83.595255,0,148,247900,247900,0.001,0,37454.76009
43.012664,-83.6722,0,4489,247729,247729,0.003625,1,8106.210097
42.991755,-83.729302,0,2519,247500,247500,0.002090909,1,998.2764313
42.912035,-83.712073,0.017051219,6630,247500,247500,0.00075,0,14257.78691
43.032414,-83.787599,0.017638579,6744,247000,247000,0,0,12029.07514
43.016961,-83.767172,0,659,247000,247000,0,0,7619.935352
42.907805,-83.71212,0,2989,246500,246500,0.00075,0,15598.16077
42.933399,-83.574358,0,1737,246500,246500,0,0,27579.55574
43.021536,-83.798659,0,3495,245999,245999,0,0,15126.04262
43.068825,-83.65303,0,1114,245884,245884,0.011965517,1,460.6809741
42.927695,-83.706198,0,80,245000,245000,0.069,0,11007.26119
42.99434,-83.720033,0,1505,245000,245000,0.003333333,1,2203.139024
42.893065,-83.592544,0,4692,245000,245000,0.001,0,36318.3963
43.038445,-83.815322,0,1729,245000,245000,0,0,19497.19288
42.964616,-83.585845,0,345,245000,245000,0,0,17907.37911
43.026507,-83.808597,0,862,245000,245000,0,0,17620.61579
43.039896,-83.807116,0,1640,245000,245000,0,0,17370.34402
43.06659,-83.792271,0,2862,245000,245000,0,0,14669.57218
43.039896,-83.807116,0,106,244900,244900,0,0,17370.34402
43.021485,-83.667625,0,1351,243893,243893,0.036794118,1,8708.522442
43.001106,-83.711384,0,2477,243800,243800,0.005083333,1,4965.597677
43.049118,-83.730457,0.008430973,6065,243800,243800,0.001956522,1,785.7745407
42.894352,-83.598982,0,3384,243740,243740,0.001,0,35147.58494
43.083614,-83.75775,0,1921,243713,243713,0.000666667,0,7181.231752
43.046776,-83.614234,0,4662,243468,243468,0,0,2416.665111
42.906184,-83.640768,0.013654981,6092,243000,243000,0.006,0,27853.09882
42.888434,-83.593983,0,4089,243000,243000,0.001,0,37667.62497
43.04066,-83.805819,0,2009,242900,242900,0,0,17064.12295
42.967403,-83.819408,0,2290,242900,242900,0,0,12695.7707
42.905177,-83.637927,0,2409,242750,242750,0.006,0,28320.61008
42.938295,-83.584125,0,3465,242250,242250,0,0,24507.94803
43.169705,-83.745454,0,1697,242000,242000,0.0025,0,33427.39126
43.147239,-83.798305,0,1598,242000,242000,0,0,31501.10217
43.051202,-83.815455,0,506,242000,242000,0,0,20454.44083
43.026425,-83.801455,0,239,242000,242000,0,0,15712.48489
43.040298,-83.598135,0,2494,241500,241500,0,0,7245.420159
43.014322,-83.796738,0,2922,240364,240364,0,0,15245.62485
43.021485,-83.667625,0,1105,240000,240000,0.036794118,1,8708.522442
42.9058,-83.637313,0,5606,240000,240000,0.006,0,28121.28041
42.906337,-83.640305,0,1998,240000,240000,0.006,0,27813.47185
43.033818,-83.778664,0,1046,240000,240000,0.004,0,9627.644103
43.022232,-83.779722,0,2614,240000,240000,0.002,0,10093.19206
43.025072,-83.778626,0,875,240000,240000,0.002,0,9649.140171
42.898001,-83.598072,0,2116,240000,240000,0.001,0,34048.96003
42.905807,-83.7099,0,3083,240000,240000,0.00075,0,16520.40615
43.069846,-83.641428,0.012402965,6400,240000,240000,6.00E-04,0,2323.206995
43.085121,-83.834936,0,5848,240000,240000,0,0,27324.93966
43.054572,-83.823319,0,1553,240000,240000,0,0,22838.01106
43.024958,-83.804837,0.018733474,6405,240000,240000,0,0,16640.04871
43.040561,-83.597687,0,952,240000,240000,0,0,7290.866798
42.905692,-83.639987,0,513,239900,239900,0.006,0,28057.59937
43.029023,-83.689013,0,2212,239575,239575,0.00015625,1,10957.42208
42.995996,-83.72167,0.020983076,6518,239000,239000,0.177666667,1,2787.94375
